,UID,Name,Position,Tck R,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp
10,54007366.0,Maciej Sadlok,D (LC),75.0,11.0,10.0,11.0,13.0,11.0,11.0,10.0,11.0,14.0,11.0,11.0,10.0,10.0,11.0,13.0,10.0,13.0,10.0,12.0,11.0,11.0,12.0,8.0,11.0,9.0,4.0,11.0,11.0,12.0,8.0,12.0,12.0,10.0,8.0,12.0,9.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,13.0,12.0,7.0,14.0,11.0,12.0,13.0,10.0,12.0,12.0
11,25017074.0,Ondřej Zahustel,"D (RL), WB/M/AM (R)",85.0,12.0,11.0,8.0,6.0,7.0,12.0,9.0,9.0,8.0,11.0,11.0,10.0,9.0,11.0,11.0,13.0,5.0,8.0,11.0,8.0,10.0,12.0,11.0,11.0,12.0,9.0,13.0,9.0,7.0,8.0,3.0,9.0,13.0,10.0,8.0,13.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,7.0,13.0,10.0,9.0,8.0,12.0,13.0,8.0,11.0,10.0
12,33000888.0,Jukka Raitala,"D (RLC), WB (L)",83.0,9.0,10.0,12.0,12.0,13.0,11.0,9.0,10.0,12.0,11.0,14.0,10.0,13.0,10.0,12.0,8.0,13.0,10.0,12.0,12.0,8.0,14.0,7.0,12.0,10.0,5.0,11.0,5.0,12.0,4.0,16.0,12.0,10.0,6.0,13.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,14.0,10.0,7.0,11.0,11.0,14.0,14.0,14.0,10.0
13,92026524.0,Hendrick Zuck,"D/WB (L), M (LC)",89.0,12.0,13.0,9.0,7.0,13.0,11.0,13.0,7.0,15.0,10.0,13.0,9.0,12.0,13.0,14.0,13.0,7.0,14.0,8.0,10.0,12.0,12.0,11.0,12.0,11.0,10.0,12.0,11.0,6.0,9.0,10.0,6.0,11.0,9.0,8.0,12.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,11.0,14.0,13.0,5.0,10.0,9.0,10.0,12.0,15.0,12.0
14,8403439.0,Avdija Vršajević,D/WB/M (R),75.0,12.0,12.0,11.0,8.0,15.0,12.0,13.0,10.0,16.0,11.0,14.0,12.0,12.0,11.0,17.0,11.0,10.0,13.0,8.0,13.0,11.0,16.0,12.0,9.0,11.0,8.0,10.0,6.0,7.0,6.0,14.0,11.0,12.0,13.0,11.0,10.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,15.0,13.0,5.0,14.0,12.0,10.0,16.0,6.0,14.0,6.0
15,93011278.0,Mattias Johansson,D/WB (R),60.0,11.0,11.0,10.0,8.0,12.0,12.0,9.0,10.0,12.0,12.0,13.0,12.0,13.0,12.0,13.0,8.0,10.0,10.0,13.0,14.0,12.0,14.0,7.0,11.0,11.0,10.0,12.0,7.0,11.0,9.0,10.0,13.0,12.0,7.0,13.0,12.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,12.0,14.0,4.0,8.0,11.0,17.0,14.0,12.0,10.0,13.0
16,19252111.0,Geferson,"D/WB (L), DM, M (C)",72.0,11.0,10.0,13.0,12.0,11.0,11.0,13.0,12.0,14.0,12.0,12.0,9.0,10.0,9.0,9.0,7.0,9.0,10.0,13.0,13.0,9.0,11.0,10.0,12.0,10.0,7.0,11.0,12.0,10.0,7.0,13.0,11.0,11.0,13.0,13.0,12.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,12.0,12.0,7.0,12.0,12.0,12.0,11.0,8.0,16.0,10.0
17,59092449.0,Guram Giorbelidze,D/WB (L),83.0,12.0,12.0,12.0,9.0,12.0,12.0,14.0,9.0,7.0,12.0,12.0,11.0,11.0,12.0,11.0,8.0,8.0,9.0,13.0,12.0,12.0,13.0,5.0,6.0,8.0,6.0,11.0,7.0,12.0,8.0,8.0,12.0,12.0,6.0,11.0,10.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,12.0,16.0,2.0,13.0,11.0,4.0,9.0,10.0,9.0,18.0
18,57066539.0,Marius Briceag,D/WB (L),78.0,12.0,13.0,10.0,7.0,12.0,13.0,11.0,13.0,10.0,13.0,14.0,13.0,11.0,9.0,11.0,8.0,8.0,12.0,12.0,14.0,11.0,14.0,5.0,13.0,8.0,7.0,10.0,6.0,12.0,8.0,13.0,12.0,11.0,7.0,13.0,11.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,11.0,12.0,3.0,12.0,12.0,3.0,12.0,12.0,13.0,13.0
19,919860.0,Gaël Clichy,D/WB (L),75.0,9.0,12.0,13.0,11.0,14.0,9.0,8.0,7.0,10.0,15.0,13.0,14.0,13.0,13.0,13.0,10.0,7.0,13.0,14.0,15.0,12.0,12.0,5.0,13.0,10.0,6.0,14.0,5.0,12.0,5.0,10.0,13.0,14.0,6.0,14.0,14.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,13.0,14.0,9.0,12.0,14.0,12.0,16.0,15.0,11.0,16.0
20,38001846.0,Tamás Kádár,"D (LC), WB (L)",77.0,8.0,9.0,13.0,14.0,10.0,9.0,11.0,13.0,14.0,12.0,17.0,12.0,10.0,12.0,14.0,10.0,9.0,8.0,13.0,13.0,12.0,14.0,5.0,11.0,10.0,5.0,12.0,5.0,13.0,9.0,13.0,11.0,13.0,8.0,13.0,10.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,10.0,12.0,5.0,9.0,10.0,12.0,10.0,8.0,11.0,15.0
21,85048845.0,Gaëtan Bussmann,"D (LC), WB/AM (L)",71.0,9.0,12.0,12.0,11.0,12.0,11.0,12.0,12.0,13.0,10.0,15.0,9.0,12.0,11.0,15.0,9.0,11.0,12.0,11.0,13.0,8.0,15.0,7.0,13.0,10.0,8.0,8.0,7.0,13.0,12.0,15.0,12.0,10.0,7.0,14.0,8.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,12.0,12.0,5.0,11.0,15.0,14.0,14.0,16.0,11.0,16.0
22,42078163.0,Or Dadya,D/WB (R),66.0,14.0,12.0,8.0,13.0,13.0,14.0,13.0,11.0,11.0,10.0,13.0,8.0,9.0,8.0,14.0,9.0,6.0,14.0,10.0,14.0,9.0,16.0,9.0,14.0,9.0,7.0,12.0,5.0,10.0,5.0,10.0,10.0,12.0,8.0,12.0,11.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,13.0,11.0,6.0,7.0,13.0,7.0,12.0,13.0,11.0,6.0
23,57128362.0,Dorinel Oancea,D/WB (R),80.0,12.0,12.0,12.0,9.0,10.0,13.0,12.0,12.0,7.0,13.0,11.0,12.0,12.0,13.0,11.0,9.0,8.0,11.0,12.0,13.0,11.0,13.0,9.0,14.0,8.0,7.0,12.0,6.0,9.0,6.0,14.0,12.0,13.0,8.0,12.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,12.0,9.0,2.0,4.0,12.0,4.0,13.0,12.0,12.0,11.0
24,28103584.0,Cole Dasilva,D/WB (RL),76.0,15.0,11.0,10.0,6.0,13.0,15.0,11.0,9.0,8.0,7.0,9.0,10.0,11.0,9.0,11.0,11.0,10.0,5.0,10.0,10.0,9.0,10.0,10.0,11.0,8.0,7.0,9.0,12.0,7.0,10.0,7.0,8.0,8.0,3.0,10.0,12.0,4.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,12.0,10.0,3.0,6.0,18.0,4.0,11.0,13.0,13.0,11.0
25,83243055.0,Filipe Cruz,D/WB (R),76.0,13.0,12.0,12.0,8.0,13.0,13.0,12.0,8.0,13.0,12.0,10.0,12.0,13.0,11.0,13.0,10.0,11.0,12.0,9.0,13.0,11.0,13.0,13.0,13.0,12.0,8.0,12.0,13.0,7.0,8.0,12.0,9.0,12.0,8.0,11.0,12.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,11.0,13.0,6.0,6.0,12.0,12.0,14.0,13.0,13.0,14.0
26,55083824.0,Ricardinho,"D (RC), WB (R), DM",78.0,12.0,11.0,11.0,8.0,11.0,13.0,11.0,11.0,9.0,11.0,7.0,11.0,12.0,12.0,12.0,11.0,13.0,11.0,12.0,11.0,8.0,12.0,8.0,12.0,11.0,7.0,11.0,6.0,10.0,12.0,11.0,13.0,13.0,6.0,13.0,10.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,15.0,11.0,9.0,8.0,11.0,5.0,14.0,14.0,13.0,11.0
27,5651725.0,Martin Fillo,"D/WB (R), M/AM (RL)",70.0,8.0,11.0,12.0,7.0,12.0,8.0,7.0,9.0,14.0,14.0,14.0,7.0,7.0,12.0,12.0,16.0,10.0,14.0,9.0,8.0,9.0,13.0,10.0,14.0,13.0,12.0,14.0,10.0,8.0,12.0,6.0,9.0,12.0,10.0,10.0,15.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,13.0,14.0,4.0,11.0,15.0,10.0,14.0,14.0,17.0,12.0
28,34000999.0,Gaëtan Bong,D (L),64.0,10.0,12.0,12.0,11.0,13.0,12.0,12.0,12.0,11.0,13.0,13.0,9.0,13.0,11.0,14.0,6.0,8.0,8.0,15.0,14.0,7.0,14.0,7.0,6.0,8.0,6.0,10.0,6.0,12.0,7.0,13.0,12.0,9.0,6.0,14.0,10.0,3.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,13.0,14.0,3.0,10.0,12.0,8.0,18.0,15.0,10.0,14.0
29,57108744.0,Denis Dumitraşcu,D/M/AM (L),82.0,12.0,13.0,13.0,11.0,12.0,13.0,13.0,12.0,10.0,11.0,10.0,11.0,11.0,12.0,12.0,9.0,8.0,11.0,12.0,13.0,12.0,13.0,3.0,13.0,9.0,7.0,12.0,9.0,10.0,8.0,13.0,12.0,11.0,5.0,12.0,9.0,3.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,12.0,11.0,6.0,4.0,9.0,2.0,13.0,11.0,11.0,12.0
30,864177.0,Guus Joppen,"D (RC), WB (R)",79.0,12.0,10.0,10.0,11.0,15.0,11.0,10.0,11.0,8.0,11.0,11.0,13.0,12.0,11.0,11.0,7.0,13.0,12.0,12.0,13.0,12.0,14.0,7.0,6.0,6.0,9.0,10.0,8.0,13.0,10.0,14.0,13.0,9.0,5.0,12.0,11.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,10.0,15.0,6.0,8.0,7.0,6.0,12.0,13.0,15.0,13.0
31,37058355.0,Faris Hammouti,D/WB/M/AM (R),76.0,12.0,11.0,12.0,12.0,13.0,12.0,11.0,11.0,13.0,14.0,13.0,12.0,11.0,12.0,4.0,11.0,12.0,10.0,9.0,12.0,12.0,14.0,10.0,9.0,11.0,10.0,11.0,9.0,13.0,10.0,10.0,8.0,12.0,7.0,11.0,12.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,10.0,13.0,7.0,8.0,11.0,5.0,11.0,13.0,15.0,10.0
32,37055839.0,Navajo Bakboord,"D (RC), WB (R)",82.0,13.0,13.0,13.0,9.0,13.0,13.0,13.0,8.0,17.0,11.0,13.0,10.0,11.0,11.0,16.0,9.0,9.0,11.0,12.0,12.0,10.0,13.0,4.0,9.0,11.0,5.0,12.0,8.0,10.0,6.0,9.0,12.0,12.0,6.0,12.0,11.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,11.0,12.0,8.0,10.0,9.0,7.0,14.0,10.0,12.0,7.0
33,37044021.0,Jeff Hardeveld,"D (LC), WB (L)",75.0,12.0,10.0,11.0,11.0,12.0,12.0,13.0,12.0,11.0,11.0,13.0,11.0,13.0,11.0,12.0,11.0,7.0,11.0,12.0,13.0,12.0,14.0,10.0,11.0,9.0,7.0,11.0,13.0,12.0,11.0,11.0,9.0,12.0,15.0,12.0,10.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,10.0,14.0,8.0,8.0,16.0,15.0,12.0,10.0,12.0,5.0
34,16009567.0,Emanuel Schreiner,D/WB/M (L),88.0,12.0,11.0,11.0,11.0,13.0,11.0,11.0,13.0,5.0,12.0,8.0,9.0,11.0,11.0,12.0,8.0,8.0,14.0,13.0,13.0,9.0,15.0,9.0,11.0,8.0,6.0,10.0,7.0,12.0,7.0,9.0,11.0,13.0,11.0,11.0,10.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,12.0,12.0,7.0,4.0,9.0,9.0,14.0,13.0,12.0,12.0
35,85050974.0,Franck Tabanou,D/WB/M/AM (L),67.0,12.0,11.0,11.0,8.0,10.0,12.0,10.0,11.0,16.0,10.0,13.0,12.0,11.0,11.0,11.0,13.0,6.0,13.0,9.0,11.0,13.0,14.0,11.0,13.0,11.0,7.0,13.0,11.0,10.0,12.0,10.0,9.0,12.0,8.0,10.0,12.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,16.0,12.0,14.0,13.0,15.0,14.0,10.0,12.0,11.0,14.0
36,39053492.0,Rúnar Þór Sigurgeirsson,D/M (L),74.0,15.0,11.0,10.0,13.0,15.0,12.0,9.0,8.0,14.0,11.0,10.0,8.0,11.0,14.0,16.0,5.0,13.0,8.0,11.0,10.0,9.0,11.0,10.0,13.0,10.0,6.0,9.0,8.0,9.0,9.0,9.0,10.0,11.0,7.0,11.0,11.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,13.0,15.0,6.0,9.0,7.0,9.0,10.0,13.0,15.0,15.0
37,53056898.0,Saliou Ciss,"D (LC), WB/M (L)",77.0,12.0,13.0,10.0,7.0,13.0,13.0,11.0,11.0,7.0,11.0,11.0,12.0,10.0,12.0,15.0,12.0,9.0,12.0,10.0,12.0,10.0,13.0,7.0,12.0,12.0,7.0,12.0,7.0,10.0,11.0,11.0,10.0,11.0,7.0,13.0,12.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,15.0,12.0,14.0,10.0,12.0,8.0,12.0,15.0,14.0,6.0
38,37017042.0,Jeffry Fortes,"D (RC), WB (R), DM, M (R)",73.0,10.0,11.0,14.0,12.0,13.0,10.0,10.0,10.0,13.0,11.0,12.0,13.0,11.0,10.0,14.0,11.0,8.0,14.0,12.0,12.0,10.0,14.0,10.0,11.0,12.0,6.0,11.0,7.0,12.0,7.0,8.0,12.0,12.0,13.0,13.0,13.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,10.0,13.0,6.0,6.0,11.0,7.0,16.0,14.0,12.0,12.0
39,37018395.0,Fabian Sporkslede,"D (RC), WB (R), DM",74.0,12.0,12.0,12.0,7.0,14.0,12.0,11.0,15.0,14.0,11.0,13.0,12.0,12.0,10.0,10.0,8.0,8.0,11.0,13.0,13.0,11.0,12.0,6.0,7.0,9.0,4.0,12.0,8.0,11.0,7.0,5.0,12.0,12.0,9.0,12.0,12.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,10.0,11.0,4.0,6.0,9.0,11.0,11.0,12.0,14.0,9.0
40,28081273.0,Gethin Jones,"D (RC), WB (R)",82.0,13.0,12.0,10.0,10.0,13.0,12.0,13.0,10.0,11.0,12.0,12.0,11.0,11.0,10.0,13.0,7.0,14.0,13.0,13.0,12.0,10.0,11.0,6.0,8.0,8.0,7.0,11.0,6.0,12.0,8.0,10.0,11.0,11.0,6.0,12.0,12.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,12.0,13.0,1.0,5.0,14.0,8.0,13.0,14.0,15.0,13.0
41,16178250.0,Leonardo Lukačević,D/WB/M (L),82.0,13.0,12.0,11.0,8.0,11.0,13.0,12.0,11.0,8.0,12.0,13.0,10.0,11.0,10.0,14.0,9.0,8.0,14.0,13.0,12.0,12.0,12.0,6.0,10.0,9.0,6.0,10.0,8.0,6.0,9.0,6.0,12.0,10.0,7.0,12.0,11.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,16.0,12.0,8.0,5.0,7.0,9.0,9.0,11.0,9.0,19.0
42,16009627.0,Christian Klem,D/WB/M (L),84.0,11.0,11.0,11.0,7.0,14.0,11.0,14.0,10.0,5.0,11.0,12.0,11.0,12.0,11.0,12.0,8.0,12.0,12.0,13.0,13.0,11.0,13.0,11.0,11.0,12.0,4.0,11.0,5.0,9.0,8.0,6.0,12.0,11.0,8.0,11.0,12.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,10.0,14.0,9.0,4.0,12.0,13.0,13.0,12.0,11.0,12.0
43,98005085.0,François Moubandje,"D (LC), WB (L)",74.0,11.0,11.0,13.0,13.0,15.0,10.0,12.0,11.0,11.0,13.0,8.0,12.0,11.0,12.0,9.0,10.0,8.0,10.0,12.0,11.0,11.0,13.0,6.0,13.0,9.0,6.0,12.0,9.0,12.0,7.0,10.0,12.0,14.0,11.0,13.0,12.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,11.0,10.0,8.0,8.0,9.0,10.0,10.0,11.0,14.0,13.0
44,83297602.0,João Mendes,D/WB (L),80.0,13.0,12.0,11.0,9.0,12.0,13.0,12.0,12.0,13.0,11.0,9.0,11.0,10.0,12.0,19.0,7.0,4.0,14.0,10.0,10.0,14.0,11.0,6.0,14.0,11.0,10.0,9.0,7.0,10.0,8.0,7.0,10.0,10.0,8.0,13.0,12.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,4.0,13.0,11.0,6.0,5.0,14.0,7.0,9.0,11.0,18.0,14.0
45,55069773.0,Nuno Campos,"D (RL), WB (R)",69.0,14.0,13.0,12.0,7.0,13.0,13.0,12.0,8.0,11.0,13.0,10.0,12.0,12.0,11.0,13.0,9.0,9.0,12.0,10.0,12.0,11.0,12.0,5.0,11.0,12.0,5.0,12.0,7.0,6.0,7.0,12.0,10.0,11.0,5.0,12.0,13.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,5.0,14.0,6.0,6.0,10.0,3.0,13.0,14.0,11.0,16.0
46,18032373.0,Jannes Vansteenkiste,"D (LC), WB (L)",78.0,13.0,15.0,5.0,7.0,15.0,13.0,13.0,4.0,7.0,12.0,10.0,10.0,14.0,9.0,12.0,5.0,15.0,11.0,13.0,13.0,7.0,15.0,7.0,8.0,8.0,4.0,9.0,3.0,9.0,9.0,2.0,12.0,10.0,4.0,16.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,14.0,13.0,3.0,7.0,9.0,8.0,10.0,10.0,16.0,13.0
47,70002626.0,Eren Albayrak,D/WB/M (L),73.0,12.0,12.0,9.0,7.0,10.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,13.0,11.0,10.0,6.0,6.0,10.0,9.0,13.0,10.0,13.0,12.0,11.0,11.0,8.0,11.0,10.0,9.0,9.0,8.0,8.0,11.0,10.0,11.0,10.0,3.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,13.0,12.0,7.0,8.0,12.0,15.0,12.0,9.0,12.0,13.0
48,85007639.0,Joffrey Cuffaut,"D (RC), WB (R)",75.0,10.0,10.0,12.0,10.0,15.0,11.0,12.0,11.0,9.0,13.0,13.0,13.0,12.0,11.0,15.0,12.0,12.0,12.0,13.0,13.0,11.0,12.0,10.0,11.0,11.0,7.0,12.0,8.0,12.0,8.0,13.0,12.0,12.0,13.0,12.0,11.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,13.0,13.0,5.0,12.0,14.0,5.0,14.0,12.0,12.0,15.0
49,83228783.0,Rodrigo Pinheiro,"D (RL), WB (R)",76.0,13.0,14.0,8.0,11.0,11.0,14.0,12.0,10.0,9.0,12.0,9.0,9.0,11.0,11.0,13.0,11.0,7.0,12.0,11.0,12.0,9.0,13.0,6.0,12.0,11.0,7.0,11.0,6.0,7.0,8.0,11.0,13.0,11.0,6.0,12.0,11.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,11.0,12.0,5.0,7.0,11.0,6.0,14.0,10.0,15.0,18.0
50,22013763.0,Tsvetomir Panov,"D (RL), WB (R)",91.0,12.0,12.0,10.0,7.0,13.0,11.0,12.0,8.0,13.0,12.0,14.0,12.0,13.0,11.0,13.0,8.0,10.0,9.0,15.0,15.0,8.0,14.0,6.0,11.0,10.0,6.0,12.0,6.0,6.0,6.0,12.0,12.0,11.0,8.0,12.0,11.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,13.0,17.0,7.0,11.0,15.0,8.0,15.0,15.0,13.0,15.0
