UID,Name,Position,Conv %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
2000198896,Szymon Siodłowski,ST (C),100%,9,10,11,12,13,12,11,10,10,12,8,10,7,12,9,10,7,12,5,11,7,11,4,7,9,11,9,5,12,7,4,3,7,10,3,9,2,1,1,1,1,3,3,2,2,1,1,10,19,2,6,19,3,13,11,3,20,- -  -,Yth
96124147,Maciej Śliwa,M/AM (LC),5%,14,13,7,11,15,12,10,6,14,6,9,9,5,6,12,15,14,13,8,6,9,11,6,11,13,9,10,8,9,11,9,5,7,6,5,11,3,1,2,1,3,3,3,3,3,1,1,9,10,3,11,16,9,12,11,12,17,- -  -,
37065751,Nikolas Agrafiotis,ST (C),50%,9,10,13,15,15,9,11,14,18,12,11,12,10,14,11,11,11,11,5,9,7,12,9,8,12,12,13,9,14,12,2,5,10,8,5,13,1,1,3,1,4,2,1,2,1,1,2,11,11,6,15,13,9,11,7,14,16,- -  -,
2000078874,Arsen Hrosu,"M (C), AM (RLC)",15%,12,10,13,5,7,10,11,7,8,9,12,10,8,10,14,8,4,10,8,8,8,8,10,9,11,8,10,8,5,12,5,9,12,7,5,12,3,3,2,1,2,2,3,2,3,2,1,15,20,7,7,12,12,10,9,12,10,- -  -,
2000149996,Benjamin Dibrani,"M (C), AM (RLC)",50%,12,13,9,9,14,12,4,10,5,8,7,6,4,10,14,10,12,7,8,13,12,8,7,7,15,10,12,8,5,10,7,7,14,4,4,12,3,1,1,2,2,2,3,1,3,2,2,10,14,8,14,7,11,12,8,13,13,- -  -,Loa
2000193530,Tino Kaufmann,ST (C),14%,10,12,8,11,8,13,12,8,11,12,10,10,7,13,9,11,6,13,5,8,9,8,7,5,11,15,14,5,11,8,1,6,8,10,1,11,4,3,4,2,2,2,2,2,3,3,3,14,7,8,12,10,5,13,12,8,12,- -  -,
85051578,Sébastien Haller,ST (C),50%,12,11,16,17,16,13,16,18,12,15,13,15,15,15,12,15,10,12,7,14,12,15,6,9,10,15,12,7,14,9,4,7,11,17,6,13,4,1,3,3,2,2,3,2,1,3,3,16,15,6,6,15,6,11,14,5,16,- -  -,Inj
2000045802,Roko Šimić,ST (C),100%,14,14,13,14,15,13,11,13,14,13,13,11,10,10,16,12,6,13,6,11,10,15,7,9,13,12,14,10,12,12,4,4,9,13,6,12,1,1,2,1,3,1,1,1,2,3,4,16,10,5,6,8,5,13,10,9,9,- -  -,Inj
63037210,Dominik Veselovsky,AM (RLC),100%,10,12,10,1,11,11,8,2,5,11,9,7,10,12,14,14,12,15,10,10,9,11,6,10,15,8,15,9,8,9,6,9,10,5,10,15,1,1,2,1,2,2,2,2,3,3,2,12,9,2,5,5,6,11,10,14,20,- -  -,
2000204455,Tobiasz Kubik,M/AM (L),7%,13,12,7,7,6,12,7,5,12,5,5,14,5,10,9,15,6,12,3,7,11,12,6,9,9,13,10,6,5,7,6,5,9,9,7,6,3,3,1,3,3,2,1,2,3,2,2,10,10,1,12,7,11,12,12,10,12,- -  -,
2000015101,Adrian Żyła,M/AM (RC),14%,13,15,8,5,13,11,10,4,11,5,7,5,5,5,5,14,10,9,4,7,7,11,5,5,10,9,13,5,6,4,6,5,7,1,7,12,4,3,2,1,1,1,1,1,3,1,2,11,17,1,5,15,9,10,8,12,14,- -  -,
2000014487,Liam Chipperfield,"M (C), AM (RC)",8%,13,14,10,8,13,12,13,9,11,11,8,13,9,9,12,12,8,11,5,11,14,11,10,10,14,8,14,9,5,12,4,5,13,10,7,14,2,1,2,3,2,1,2,3,3,1,2,14,8,7,8,10,8,14,10,12,10,- -  -,Wnt
96145652,Radosław Cielemęcki,"M (C), AM (RLC)",17%,12,12,7,6,10,11,10,8,11,11,10,10,10,8,14,15,8,13,9,10,12,10,10,8,13,7,11,9,7,9,5,7,9,7,7,12,3,1,2,2,2,3,3,2,2,3,3,13,11,6,10,12,3,15,12,12,11,- -  -,
2000014271,Filip Wilak,"M/AM (RL), ST (C)",23%,11,9,9,7,15,9,8,7,15,6,7,11,4,12,9,9,5,10,8,9,8,10,8,13,15,8,14,5,9,7,2,4,10,2,5,9,3,3,3,3,2,2,3,2,4,4,2,9,8,7,12,8,14,12,13,11,14,- -  -,
2000102357,Sören Becker,M/AM (C),2%,8,11,8,12,15,12,8,7,6,10,9,6,5,8,12,12,2,6,5,8,10,10,5,6,7,10,15,7,11,9,4,7,9,3,8,12,3,3,2,1,1,1,4,1,2,1,2,11,11,2,10,8,13,12,11,14,12,- -  -,
2000014256,Wojciech Kryger,"M (RC), AM (R)",33%,13,10,8,6,11,12,8,5,14,7,5,6,7,5,15,12,10,5,6,8,8,12,6,8,13,9,14,5,4,3,2,6,11,3,6,11,2,3,2,2,2,1,3,2,1,2,2,11,9,7,7,10,6,12,8,11,15,- -  -,
2000006206,Kacper Kondracki,"M (C), AM (LC)",13%,14,13,14,8,12,14,7,4,6,8,7,10,8,8,16,10,2,11,5,13,8,11,4,9,11,9,13,7,7,10,1,7,13,7,1,9,2,1,1,2,2,3,1,4,1,2,1,10,9,3,8,16,9,10,7,10,20,- -  -,
98048652,Kevin Costinha,M/AM (R),10%,13,13,8,11,5,11,5,9,13,8,8,4,8,10,5,15,9,11,7,8,9,9,8,12,14,9,13,6,7,8,7,7,6,3,8,13,1,3,2,3,2,3,2,2,2,2,2,11,12,3,10,17,14,10,12,12,20,- -  -,Wnt
96159044,Błażej Szczepanek,M/AM (RLC),13%,12,13,11,7,13,12,9,6,8,7,13,12,10,9,5,7,8,10,9,9,11,8,8,13,10,11,8,9,7,7,6,7,12,8,7,9,1,2,4,1,3,2,1,3,3,3,2,10,13,7,13,16,8,13,12,11,17,- -  -,
96159204,Daniel Szelągowski,"M (L), AM (LC)",12%,12,13,11,10,15,13,13,11,11,10,13,10,7,10,15,11,7,8,6,9,8,10,5,8,12,10,12,6,7,10,4,6,11,6,6,11,1,3,1,3,3,3,2,1,3,2,3,15,11,5,7,17,6,13,13,10,14,- -  -,
96159294,Daniel Orlikowski,"M/AM (C), ST (C)",24%,8,10,10,7,12,9,10,7,4,10,5,10,9,10,15,9,8,10,10,9,12,8,4,8,11,9,11,8,6,5,3,5,9,7,5,11,1,3,2,3,1,3,1,3,3,3,1,12,10,2,2,2,8,10,10,9,17,- -  -,
96160062,Mikołaj Wasilewski,M/AM (LC),15%,9,12,9,4,12,10,9,6,5,8,3,9,7,9,5,12,10,8,4,10,11,12,7,8,12,11,9,5,4,9,3,7,12,7,7,13,3,3,3,4,1,1,1,3,1,2,3,9,12,2,9,13,9,13,12,15,17,- -  -,
98046084,Ricardo Alves,"M (C), AM (RLC)",9%,13,13,7,6,14,13,12,3,15,5,9,10,8,10,11,13,1,10,6,8,9,8,7,7,11,8,14,7,7,9,3,8,11,5,5,12,1,2,3,2,2,3,2,3,1,1,2,9,10,4,6,12,11,11,8,15,18,- -  -,
96160170,Tomasz Mamis,"M/AM (LC), ST (C)",15%,10,11,10,7,15,11,10,8,12,7,7,9,8,8,13,12,10,11,3,8,11,10,11,9,10,8,11,7,5,8,5,5,9,6,5,11,3,3,4,3,4,3,3,1,1,4,1,14,10,2,6,14,6,15,13,16,11,- -  -,
96160192,Hubert Konstanty,AM (LC),10%,12,14,10,1,12,12,5,3,6,6,3,10,9,10,11,15,11,10,5,12,12,9,7,9,12,9,12,9,8,8,6,6,13,10,9,11,3,1,3,2,2,1,2,2,2,1,4,7,15,4,6,13,10,13,11,15,14,- -  -,
96161496,Maciej Bortniczuk,"AM (C), ST (C)",15%,12,11,10,10,11,10,10,10,9,11,11,13,10,12,12,11,12,11,8,11,10,10,9,8,9,11,10,11,9,9,3,9,11,8,4,10,4,1,2,2,2,2,1,3,2,2,2,13,12,2,6,10,10,11,12,12,15,- -  -,
96161505,Eryk Matus,M/AM (RL),12%,10,8,10,13,17,10,12,8,10,7,9,9,10,10,8,12,11,12,9,10,12,7,5,9,12,12,8,8,7,8,9,9,12,5,10,12,1,1,2,1,1,3,4,3,3,2,2,11,11,4,6,4,13,12,9,15,19,- -  -,
2000031643,Marcel Żurek,M/AM (R),10%,11,10,6,8,9,10,11,5,10,9,8,9,10,14,14,9,13,9,7,13,10,13,7,10,10,9,9,7,7,6,7,5,10,5,8,10,3,2,3,2,1,3,1,2,1,3,2,11,8,2,7,12,5,13,11,10,14,- -  -,
2000045878,Samuel Bamba,M/AM (RL),18%,13,16,10,6,12,14,7,9,5,11,5,9,5,13,15,14,11,13,8,12,8,11,9,11,13,10,15,8,7,10,10,8,12,1,6,14,1,2,2,1,3,2,2,3,2,2,3,10,18,7,5,10,9,13,11,14,11,- -  -,Loa
2000064689,Artur Gajdos,M/AM (C),11%,14,13,8,6,15,14,7,1,12,9,8,11,8,14,3,12,11,9,6,8,13,10,3,6,8,9,14,6,4,9,7,7,11,2,6,12,1,1,2,2,2,1,2,1,2,1,4,14,19,1,8,10,12,11,10,10,11,- -  -,
84151694,Guillaume Furrer,"M (L), AM (RL), ST (C)",24%,11,13,13,8,12,13,12,11,7,6,11,11,7,11,12,14,7,10,5,10,11,12,10,12,13,12,13,9,8,13,1,4,9,10,5,12,2,3,1,3,2,1,3,2,3,1,2,10,9,3,3,13,9,15,12,10,15,- -  -,
91119265,Julian Brandt,M/AM (RLC),13%,13,15,12,12,15,15,12,10,9,14,7,12,10,10,10,16,6,13,8,11,16,11,11,12,16,12,18,13,6,14,7,5,16,11,8,17,1,2,3,3,1,3,2,1,4,1,3,8,9,4,4,12,4,11,17,14,20,- -  -,
2000197188,Luka Klanac,"AM (RL), ST (C)",33%,12,12,10,12,11,13,8,7,12,10,8,9,7,12,12,12,1,12,6,8,11,12,7,9,13,13,14,7,11,7,4,3,11,5,4,12,3,1,3,3,3,2,1,2,1,2,2,11,11,5,7,14,12,11,7,9,19,- -  -,Int
2000052721,Denis Višinský,AM (RLC),2%,14,14,8,4,9,14,9,5,6,4,6,4,8,6,7,11,1,5,4,8,8,12,6,11,14,4,14,7,7,8,6,2,13,1,6,12,1,2,3,3,2,3,3,4,1,1,2,11,11,5,11,14,12,10,11,9,19,- -  -,
2000031079,Przemysław Maj,AM (RLC),7%,11,10,12,6,8,11,10,7,8,8,10,9,9,10,15,10,8,10,9,9,10,8,7,10,11,9,10,7,10,10,5,7,9,7,9,12,1,1,1,3,3,3,2,3,3,1,1,11,12,4,7,7,10,12,10,12,14,- -  -,
2000047335,Igor Buchta,ST (C),12%,9,9,11,11,12,10,12,12,11,11,12,11,8,8,15,8,15,7,6,10,9,11,7,7,9,10,7,7,10,7,6,6,9,5,5,6,1,3,2,2,3,2,3,4,2,3,3,10,4,1,8,11,7,12,9,7,10,- -  -,
96162899,Mariusz Fornalczyk,AM (RL),14%,15,12,13,5,10,15,11,11,9,8,16,10,9,8,14,13,5,11,5,3,8,9,3,8,12,7,9,5,3,7,2,4,9,10,2,10,4,2,2,2,1,1,1,2,1,3,2,12,8,2,10,9,5,11,12,9,13,- -  -,
96143129,Szymon Włodarczyk,ST (C),28%,13,11,11,13,11,13,10,11,7,13,7,10,12,12,12,8,7,13,10,11,7,8,3,6,9,12,9,5,13,5,6,5,7,11,5,8,2,1,1,1,2,1,2,2,1,1,3,12,1,8,5,1,2,11,14,8,10,- -  -,
2000186996,Krystian Kardyś,ST (C),14%,14,13,6,8,15,13,8,9,9,8,2,12,5,5,8,11,11,8,4,5,6,7,1,1,7,8,13,2,12,7,3,1,6,4,5,9,1,4,1,3,1,4,2,1,1,3,3,10,10,5,9,15,5,12,12,7,14,- -  -,Inj
2000189108,Oumar Diallo,"M (LC), AM (RLC)",100%,13,13,9,8,12,13,10,5,15,11,3,6,3,8,7,13,5,11,5,7,10,10,5,9,12,5,11,6,7,8,5,4,12,1,4,14,2,1,4,1,3,3,2,3,1,1,3,9,9,1,7,10,5,15,10,13,20,- -  -,
2000165025,Henry Addo,"AM (L), ST (C)",8%,14,14,9,9,18,13,5,6,5,6,6,10,5,12,7,12,7,9,5,7,8,8,7,12,13,12,11,6,6,2,5,3,13,4,3,11,1,3,2,3,2,2,2,2,3,3,1,11,9,5,6,12,13,11,10,10,20,- -  -,
2000045612,Bartłomiej Korbecki,AM (RLC),13%,11,11,12,7,11,11,9,7,9,10,9,11,9,10,13,12,13,10,9,10,12,10,11,11,11,9,12,8,8,10,3,5,10,12,5,10,1,1,2,2,1,2,4,1,1,2,2,13,11,4,5,11,7,10,10,12,13,- -  -,
84153605,Randy Schneider,M/AM (C),4%,12,14,12,7,13,12,11,6,11,12,11,12,12,12,12,15,7,12,7,14,13,12,11,11,13,10,13,12,7,12,4,6,13,12,7,14,1,1,1,3,4,3,2,2,3,1,1,15,10,5,6,10,6,15,11,9,15,- -  -,
