Position Selected,Inf,Name,Position,Av Rat,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Loy,Pres,Prof,Spor,Temp,Vers,Aer
-,Yth,Shane Kelly,D (C),-,7,5,1,3,6,9,10,9,4,2,1,4,8,3,7,6,4,4,13,9,9,7,15,3,15,5,1,3,5,6,2,2,4,16,8,4,4,6,7,3,3,10,7,6,6,6,11,8,4,14,11,11,11,12,11,12,16,14,3
-,Yth,Ashley Graydon,D (C),-,8,4,4,1,6,6,7,5,6,1,2,3,9,3,5,8,2,5,14,6,4,3,7,2,14,8,3,2,4,4,4,2,5,12,8,3,6,7,5,1,1,8,11,7,6,13,6,11,5,8,14,7,18,15,11,16,19,13,3
-,Inj,Mason O'Malley,D/WB (L),7.16,12,12,9,2,8,13,12,10,11,1,2,4,11,3,10,12,1,6,11,9,5,6,6,2,9,10,2,13,9,9,7,1,8,4,9,12,15,12,11,1,1,10,7,10,10,9,8,12,8,7,10,8,10,10,11,8,19,10,2
-,,Morgan Williams,"D (RLC), WB (R)",6.70,12,12,6,1,8,11,10,9,10,2,2,3,8,9,8,11,1,8,15,9,10,2,6,3,13,11,1,6,5,8,6,3,8,12,9,7,5,10,9,1,4,12,10,8,11,10,12,14,3,4,13,3,13,11,13,14,13,13,1
-,,Ross Smith,D/WB (L),-,11,15,5,2,10,11,12,8,12,3,1,2,8,3,8,11,2,4,9,5,4,1,6,2,12,10,2,3,8,6,2,2,5,17,8,11,6,8,8,4,3,7,8,5,10,7,15,16,8,12,12,5,9,15,8,12,11,6,3
-,,Sam Woods,"D (C), DM, M (C)",6.95,8,14,13,1,10,15,10,11,10,1,2,3,11,4,11,8,2,8,7,12,8,6,11,2,12,11,2,5,5,11,6,1,7,7,12,6,5,10,12,3,3,12,13,12,6,13,11,13,3,9,15,4,13,12,12,10,8,10,2
-,,Tommy Robson,D/WB (L),6.67,10,13,7,3,9,12,11,8,12,1,2,1,8,10,9,10,2,11,14,8,13,8,8,2,9,7,1,7,5,10,8,1,8,12,9,11,9,9,9,2,2,11,9,8,11,7,11,13,9,7,10,6,12,9,5,13,16,7,3
-,BPR,Nya Kirby,"DM, M/AM (C)",7.26,13,9,12,2,12,9,11,10,15,2,1,2,9,11,12,13,1,12,12,6,1,11,10,1,7,7,2,9,11,12,9,1,9,14,10,10,10,9,13,1,3,9,8,10,12,8,9,13,6,7,16,4,10,9,11,10,20,10,1
-,BPR,Dale Gorman,"DM, M (C)",-,11,11,12,2,10,11,9,9,10,2,1,3,10,11,11,9,1,9,11,8,6,7,10,2,9,6,3,11,9,11,8,3,10,11,11,9,11,10,11,3,1,9,11,11,10,14,11,14,12,14,8,7,10,12,10,4,5,14,2
-,,Ryan De Havilland,"DM, M (C)",-,11,12,9,2,9,12,8,9,13,2,2,2,10,9,10,10,1,12,12,9,5,7,4,2,9,9,2,9,10,11,10,1,9,6,10,9,9,11,10,2,2,9,8,13,10,10,13,11,4,11,11,5,12,12,12,11,11,15,3
-,,Kian Breckin,M/AM (C),7.15,14,12,12,2,12,12,10,7,9,3,1,1,9,5,11,12,1,11,15,7,4,9,1,1,7,6,3,6,12,12,12,2,9,4,12,5,6,5,9,4,1,4,14,8,10,15,13,9,5,9,4,5,13,12,12,12,11,13,1
-,Inj,Michael Umar,"DM, M (LC), AM (L)",-,8,9,8,1,6,12,6,12,14,2,4,2,8,5,6,8,3,6,13,7,3,7,11,3,10,6,1,3,4,5,4,2,5,4,8,6,6,6,7,1,1,11,8,11,11,11,8,7,15,6,13,4,13,10,4,9,5,11,3
-,,Inglian Parrett,"DM, M (LC), AM (L)",-,9,13,5,2,8,10,10,9,8,3,2,1,7,3,8,10,4,8,14,10,4,5,12,1,11,4,2,3,3,4,4,2,7,10,8,4,4,8,7,2,3,8,7,9,8,14,18,14,10,8,7,5,5,7,13,12,13,9,2
-,Inj,Ben Williams,"M (LC), AM (C)",-,5,9,10,1,15,14,7,4,6,2,2,3,6,5,9,8,2,13,11,4,4,6,8,2,5,4,1,6,10,10,11,3,9,13,13,6,7,3,11,1,4,2,8,9,10,9,4,7,3,9,14,5,17,15,12,16,18,9,2
-,BPR,Reece Grego-Cox,"M (R), AM (RL), ST (C)",6.77,11,13,9,2,9,11,7,13,11,2,1,1,5,9,8,12,1,11,13,5,12,11,5,3,8,8,3,6,11,8,10,1,11,11,9,10,5,9,8,1,3,10,12,9,12,12,12,12,5,12,9,12,7,9,9,6,8,16,2
-,,Daniel Powell,M/AM (RL),6.65,11,14,7,2,8,12,7,10,10,2,1,1,9,9,9,12,2,11,12,6,10,9,6,2,11,7,1,6,13,10,10,1,10,11,7,11,6,7,9,3,1,11,9,11,8,8,10,13,5,8,10,7,17,9,14,12,13,15,2
,Wnt,Idris Kanu,"AM (RLC), ST (C)",6.63,14,7,9,4,10,8,7,10,13,1,3,2,8,9,7,13,2,11,13,4,5,8,6,2,10,7,3,4,13,8,7,3,12,13,7,8,5,8,9,3,1,8,13,9,14,8,15,11,4,3,5,5,8,8,11,9,8,12,2
,,Connor Bailey,"AM (RC), ST (C)",6.84,15,7,7,3,13,9,1,6,11,3,3,2,6,3,7,15,2,6,12,2,2,5,12,2,10,6,2,7,14,12,5,2,11,11,8,9,5,5,6,1,2,13,13,9,11,5,10,10,8,11,8,9,12,8,16,13,15,7,1
,,Caden Kelly,"M/AM (C), ST (C)",-,9,10,14,1,11,9,5,7,10,3,2,4,7,8,14,10,1,11,16,1,1,6,10,3,15,4,3,7,13,9,6,2,11,7,8,7,10,7,12,1,3,5,11,9,14,5,12,8,2,5,14,12,10,13,12,12,11,10,2
,Inj,Rob Hall,"AM (RLC), ST (C)",7.10,10,11,10,1,14,10,7,5,10,3,1,1,8,7,11,10,3,12,11,7,8,13,8,2,7,7,3,15,14,13,11,2,13,13,9,13,14,10,12,1,4,10,10,11,11,8,14,14,6,5,10,14,8,9,12,12,12,15,1
,Inj,Andrew Nelson,"AM (RL), ST (C)",6.88,12,13,9,1,9,13,5,11,12,3,3,3,6,10,10,13,3,11,4,5,4,5,8,4,8,8,2,5,5,11,11,1,10,12,10,6,4,9,11,2,2,12,11,10,12,9,13,15,3,5,9,15,13,10,9,14,14,7,2
,Yth,Carl Lashley,"M (C), AM (RLC)",-,10,14,7,3,11,17,5,2,11,3,1,4,5,3,12,7,2,9,11,2,2,7,3,1,3,10,3,7,11,12,6,1,9,17,12,11,6,6,9,3,3,5,7,5,10,6,19,15,7,8,8,8,13,11,10,12,13,9,2
,Wnt,Darico Chandler,"AM (RC), ST (C)",-,7,10,10,3,10,5,6,7,9,1,1,3,7,5,11,10,3,8,9,3,4,5,10,2,15,15,2,10,9,13,7,4,9,14,12,6,8,3,7,1,3,8,13,8,10,11,12,7,6,10,14,9,11,12,13,19,14,14,3
,Yth,Brian Garcia,"M (C), ST (C)",-,11,8,9,3,9,7,3,9,9,4,2,1,4,7,9,10,1,9,13,5,3,8,11,3,14,6,1,5,11,9,9,3,5,13,11,6,3,5,11,3,3,7,14,5,11,9,9,12,4,13,15,14,12,13,10,12,16,12,3
