Position Selected,Inf,Name,Position,Av Rat,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Loy,Pres,Prof,Spor,Temp,Vers,Aer
-,Sct,Christian Anaba,"D (C), DM",7.00,9,8,10,2,8,7,12,15,15,2,1,2,8,5,9,12,1,9,11,9,8,7,9,3,10,14,2,8,8,9,3,1,8,16,12,8,6,14,8,2,3,16,16,13,10,10,15,7,5,9,12,9,10,11,15,13,17,8,1
-,,Brian Garcia,"M (C), AM (L), ST (C)",7.46,13,9,13,3,10,7,3,13,13,4,2,1,4,10,11,11,1,10,14,6,4,12,14,3,14,8,1,6,12,10,8,3,7,13,14,6,6,6,13,3,3,7,15,9,12,9,9,12,4,13,15,14,12,13,10,12,16,12,3
-,,Jerrome Jimenez,"D (RC), WB (R)",-,7,8,4,3,6,7,6,7,7,2,2,2,7,5,7,7,3,5,6,8,5,4,7,2,7,8,3,3,5,7,4,2,4,7,6,5,3,6,7,3,3,8,7,6,6,7,10,6,-,7,8,6,10,10,10,10,10,8,3
-,,Vaughan Piesse,D (C),-,6,6,4,3,6,7,5,6,7,3,3,2,6,3,5,6,2,5,5,7,4,3,6,2,6,6,3,3,3,6,4,3,5,6,6,3,3,5,6,2,2,8,6,6,6,5,10,6,-,6,7,6,10,10,10,10,10,7,1
-,,Tarryn Passmore,D/WB (R),-,9,9,6,3,8,8,6,7,9,2,2,2,8,5,8,9,2,7,9,7,7,5,8,2,8,7,2,6,6,7,6,3,6,7,8,7,5,8,8,3,2,10,9,9,8,9,10,8,-,7,10,8,10,10,10,10,10,7,3
-,,Rakish Satılmış,M (R),-,5,7,7,3,7,6,5,6,6,3,2,2,5,5,7,5,1,7,5,5,4,7,4,2,5,4,2,5,5,8,7,3,6,6,6,7,6,6,7,3,3,6,6,6,7,6,10,7,-,5,7,7,10,10,10,10,10,7,2
-,,Kal Hanley,"AM (LC), ST (C)",-,7,8,7,2,7,7,4,6,7,3,3,1,4,6,6,5,3,7,6,5,5,6,4,2,5,5,3,5,8,8,8,3,6,6,6,6,5,7,7,1,2,6,6,7,6,5,10,7,-,5,7,6,10,10,10,10,10,7,3
-,,Remi Gillman,M (R),-,6,7,6,3,7,7,4,6,8,2,3,3,6,5,8,7,3,8,6,4,5,5,5,2,5,5,2,6,6,8,7,2,5,6,6,7,6,5,7,3,3,6,6,7,5,7,10,8,-,5,8,8,10,10,10,10,10,6,2
-,,Florentino Camará,M (L),-,7,9,7,2,6,8,6,6,8,3,2,3,7,7,9,7,1,7,8,6,5,7,7,2,5,5,2,7,8,8,7,2,7,10,7,8,8,7,7,3,2,8,8,8,7,9,10,8,-,7,9,7,10,10,10,10,10,7,3
-,,Felix Hughton,GK,-,6,7,4,7,5,6,2,7,7,7,6,7,8,2,6,5,8,3,7,2,2,3,6,6,8,3,5,4,2,5,2,6,2,7,7,3,3,7,5,5,8,8,7,8,6,6,10,8,-,5,9,7,10,10,10,10,10,8,6
