Position Selected,Inf,Name,Position,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Age
-,HGC,James Nam,M (C),14,13,12,3,13,8,9,5,12,3,3,3,8,1,6,14,4,9,17,6,2,8,1,2,6,5,2,7,5,14,7,2,3,11,10,4,7,3,7,1,3,4,8,5,14,7,1,16
-,HGN,Gabriel Pires de Carvalho,M (C),14,9,14,3,7,8,8,6,7,1,1,1,6,3,14,12,2,5,11,6,2,7,7,3,7,4,1,7,8,11,7,1,7,8,6,7,6,7,8,3,2,5,8,8,14,9,3,17
-,HGC,Mouad El Fanis,M/AM (C),14,7,8,2,13,7,5,6,7,2,3,1,7,12,14,12,3,8,9,7,6,11,7,4,8,8,1,11,14,13,11,2,14,15,8,12,12,11,12,1,2,14,6,10,14,8,3,19
-,HGN,Maxime Mejjati-Alami,M/AM (C),11,12,10,3,9,14,2,5,9,1,3,1,9,6,10,13,3,14,8,8,1,11,5,1,12,9,3,6,12,13,9,2,6,5,8,8,7,10,15,3,3,8,14,9,10,9,1,18
-,HGN,Ilyes Ziani,M/AM (C),15,12,6,2,12,10,9,8,7,2,3,3,9,3,12,13,2,12,17,3,4,6,10,2,9,8,2,8,11,11,10,3,11,8,9,12,8,9,9,3,2,12,8,10,11,6,1,20
-,,Diego Brina,M/AM (C),13,7,13,3,13,7,7,4,9,3,1,2,5,4,13,13,1,7,7,6,1,10,5,2,3,2,1,6,13,13,11,1,8,10,13,4,6,6,5,3,2,6,7,8,13,14,1,18
-,HGN,Rabby Mateta Pepa,M/AM (C),12,13,13,3,13,9,9,12,9,1,1,1,10,6,14,11,2,13,15,7,5,14,1,3,8,2,3,8,13,14,14,1,10,16,13,8,8,4,6,1,3,8,9,12,10,13,2,16
-,HGC,Noah Makembo-Ntemo,M/AM (C),14,11,11,1,10,11,8,9,10,1,1,3,9,7,9,13,2,9,11,5,5,11,13,1,10,8,1,8,12,10,8,1,13,9,11,8,8,9,8,3,1,11,11,10,12,12,3,16
-,,Junior Van Beveren,M/AM (C),13,8,10,1,12,7,8,1,8,3,3,2,6,1,10,13,3,8,15,7,1,8,3,3,3,5,2,6,12,13,6,2,8,14,13,5,6,4,6,2,1,6,7,6,13,6,3,17
-,O23,Anisse Brrou,M/AM (RL),15,8,12,1,13,8,2,4,7,1,4,2,5,8,8,14,1,13,16,4,9,7,14,3,5,2,3,7,14,14,8,3,14,8,8,10,7,12,11,1,3,14,3,10,12,13,2,24
-,HGN,Adrien Giunta,"M (RC), AM (RLC)",14,9,12,3,10,8,8,5,5,2,3,2,8,8,9,14,1,9,12,7,3,6,2,3,13,7,2,7,12,9,12,1,11,3,9,8,4,8,12,2,3,6,8,10,14,9,4,22
-,HGC,Cihan Çanak,M/AM (L),13,9,10,2,13,9,6,9,9,1,3,2,6,9,12,13,4,9,15,7,10,8,4,3,10,8,1,8,12,12,9,3,14,14,12,12,9,10,10,3,3,13,9,10,12,13,1,18
-,HGC,Johan N'Ganzadi,"M (R), AM (RL), ST (C)",11,10,9,2,11,9,9,13,8,1,3,3,8,6,14,12,3,14,13,8,5,7,9,2,5,9,1,8,9,15,14,2,11,6,9,12,7,9,9,3,3,5,9,9,11,9,2,18
-,HGN,Mamadou Barry,"M (L), AM (RL)",12,13,7,3,9,11,5,5,14,3,2,3,7,1,11,11,1,11,11,4,7,8,4,3,11,8,2,7,12,10,7,2,14,6,8,8,7,7,7,1,2,3,8,7,11,8,1,16
-,HGC,Rayan Berberi,AM (C),8,11,15,2,11,15,11,6,6,3,1,3,11,5,9,10,2,15,12,5,8,11,10,3,12,9,1,8,8,16,11,1,12,13,16,7,9,10,8,1,2,7,10,13,12,6,3,19
-,HGN,Steeven-David Assengue-Essola,AM (C),12,14,14,1,12,9,5,6,9,1,3,1,7,4,10,9,3,10,14,8,2,10,2,1,7,6,1,8,12,10,11,2,9,12,10,6,8,6,7,3,2,6,6,10,12,8,3,18
-,HGC,Brahim Ghalidi,AM (L),14,13,10,3,13,8,7,6,10,2,3,3,5,5,12,13,2,8,11,7,7,8,7,2,7,8,3,8,10,8,11,2,13,9,8,14,11,8,8,1,1,11,5,9,12,13,1,18
-,HGC,Afonso N'Salambi,AM (RL),14,11,8,2,12,8,7,4,6,2,3,2,4,3,11,10,1,9,12,3,6,8,3,3,4,5,1,3,11,14,8,1,14,4,8,12,7,7,5,2,1,1,14,3,11,7,2,17
-,HGN,Lukas Da Cruz,AM (RL),13,8,8,2,10,7,7,1,10,3,1,4,6,1,12,13,3,9,10,4,6,6,9,2,3,7,3,6,12,13,7,2,13,7,7,11,7,6,7,2,1,5,8,7,13,6,1,17
-,,Seydou Fini,"AM (R), ST (C)",14,12,10,2,12,12,6,8,11,1,1,4,6,7,13,13,1,9,16,4,5,6,7,2,8,7,1,8,7,11,13,3,12,9,14,10,5,9,9,4,1,8,11,11,13,8,1,17
-,Inj,Hakim Sahabo,"AM (R), ST (C)",14,9,9,1,11,8,6,7,6,1,2,1,7,5,10,12,2,11,13,5,7,8,1,2,11,11,1,7,15,13,12,2,14,9,7,11,7,7,5,2,3,8,3,6,12,12,1,18
-,,Soufiane Benjdida,"AM (L), ST (C)",13,12,12,1,13,13,7,13,13,1,1,2,10,12,13,12,3,10,13,7,5,8,5,2,11,10,2,5,13,11,12,2,13,4,10,12,8,11,10,1,1,10,12,7,12,7,3,21
-,HGC,Boubou Diallo,ST (C),12,12,9,1,10,11,6,12,10,3,2,1,7,8,9,11,2,11,12,6,6,9,9,2,19,12,1,6,8,11,11,1,8,6,10,6,5,9,10,2,2,11,13,10,10,9,2,19
