Position Selected,Inf,Name,Position,Av Rat,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Loy,Pres,Prof,Spor,Temp,Vers,Aer
STCL,,Oumar Traoré,ST (C),-,13,9,4,2,12,8,1,6,7,1,2,4,8,8,8,12,3,15,12,7,1,8,9,3,10,14,1,8,10,10,12,2,9,12,9,6,6,9,6,4,2,9,9,12,11,13,14,11,6,12,12,12,12,10,10,13,15,13,3
MCL,,Rabbi Mwenda,M/AM (C),-,11,9,9,3,11,11,5,7,11,3,3,2,8,6,11,11,3,12,13,4,4,8,4,3,6,3,3,6,8,14,11,1,9,8,14,3,6,9,9,1,3,8,12,12,12,5,10,14,8,12,12,14,10,11,11,11,19,14,3
S1,,Juliaan Laverge,GK,-,13,6,6,8,2,7,3,6,3,5,10,12,9,2,11,12,9,1,13,2,1,1,3,6,13,1,13,5,3,1,1,12,1,15,13,3,3,10,6,7,6,15,7,11,11,10,11,20,4,8,5,10,13,10,12,12,16,11,9
-,,Brice Verkerken,D (C),-,10,8,1,1,4,7,14,8,8,1,2,2,14,6,8,10,3,5,15,10,6,6,1,1,11,13,3,1,5,8,2,2,3,3,14,1,3,9,7,1,1,8,8,13,13,8,12,17,5,11,11,8,12,15,9,10,16,13,2
S2,U21,Maxime Thiel,D (C),-,11,10,6,1,11,10,12,7,7,3,2,2,8,3,11,11,1,7,6,13,8,9,10,3,15,11,2,4,5,10,7,1,7,11,10,7,7,10,10,2,2,11,7,12,10,8,13,8,7,6,1,11,12,12,11,13,14,12,3
GK,,Senne Vits,GK,-,11,8,8,8,3,9,3,11,12,8,12,10,12,3,6,14,11,1,13,1,3,3,14,9,14,1,10,6,1,4,1,12,3,12,7,3,3,10,9,11,10,11,12,10,14,5,14,10,5,6,2,5,12,11,12,10,18,12,13
S6,,Jack Mmaee,M/AM (RL),-,13,12,8,1,12,7,7,3,12,3,2,4,6,1,12,13,3,10,8,3,6,3,5,2,2,6,3,6,12,7,10,1,9,19,8,10,7,7,8,2,3,8,4,6,13,7,12,14,2,5,14,10,11,11,9,12,19,11,3
DR,U21,Fabio Scarantino,"D (RC), WB (R)",-,9,12,6,3,12,12,11,3,12,4,2,3,5,3,12,12,4,8,13,7,5,4,9,3,10,7,1,1,6,13,1,2,3,13,13,8,3,7,5,3,1,8,10,8,13,12,8,20,2,5,13,11,11,11,9,12,19,14,2
S7,,Yassin Aydoûni,M/AM (RL),-,13,7,5,2,8,3,6,6,7,2,1,1,5,3,10,13,1,8,15,2,5,6,5,1,5,1,1,5,8,6,7,1,13,7,7,11,7,6,7,2,2,7,6,6,13,10,12,20,5,9,4,7,10,10,11,11,18,13,2
S5,,Martynas Medelinskas,D (C),-,11,6,1,3,5,5,11,7,5,1,3,1,13,1,6,10,2,4,15,13,1,4,1,1,14,13,1,1,5,6,4,3,3,3,11,1,1,11,5,1,1,8,6,5,12,14,12,10,3,10,4,13,12,10,11,10,16,10,2
