Position Selected,Inf,Name,Position,Av Rat,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Loy,Pres,Prof,Spor,Temp,Vers,Aer
-,Hol,Sam Woods,"D (C), DM, M (C)",6.97,8,14,13,1,10,15,10,11,10,1,2,3,11,4,11,8,2,8,7,12,8,6,11,2,12,11,2,5,5,11,6,1,7,7,12,6,5,10,12,3,3,12,13,12,6,13,11,13,3,9,15,4,13,12,12,10,8,10,2
-,Hol,Oliver Denham,D (RLC),6.99,12,9,3,1,12,12,11,9,10,3,4,3,10,8,11,12,4,2,13,11,6,6,4,1,13,9,1,2,4,9,3,3,4,10,8,2,5,10,8,3,3,10,10,12,7,6,12,18,4,6,9,9,11,12,13,11,10,8,1
-,Hol,Rob Hall,"AM (RLC), ST (C)",6.82,10,11,10,1,14,10,7,6,9,3,1,1,8,7,11,10,3,12,11,7,7,13,8,2,7,7,3,15,14,13,11,2,13,13,9,13,14,10,12,1,4,10,10,11,10,8,14,14,6,5,10,14,8,9,12,12,12,15,1
-,,Drey McGonigle,"AM (R), ST (C)",-,8,6,6,2,6,5,4,7,5,2,2,3,4,6,7,8,2,6,8,5,4,6,6,2,6,6,2,4,9,7,6,2,7,7,7,5,4,7,7,2,3,7,6,6,8,6,10,8,-,6,7,7,10,10,10,10,10,8,3
-,,Kavanagh Gilham,M (L),-,7,8,8,3,7,8,6,6,7,2,3,2,6,7,9,6,3,9,9,4,5,7,7,3,5,5,2,6,8,9,7,3,7,7,7,8,6,7,7,2,2,7,8,6,9,9,10,8,-,6,9,7,10,10,10,10,10,8,3
-,,Sam Senior,GK,-,6,7,5,8,6,8,3,7,7,7,7,8,8,2,6,6,9,3,7,2,3,3,6,7,8,4,6,5,2,6,2,7,3,7,8,3,2,8,7,6,8,8,7,9,6,7,10,8,-,5,9,7,10,10,10,10,10,8,7
-,,Aron Fernandez,"AM (RL), ST (C)",-,8,7,6,2,5,7,3,7,8,3,3,2,3,6,6,5,2,6,9,4,4,5,6,3,7,6,3,5,7,8,6,2,6,8,7,6,4,5,8,2,3,6,8,7,5,8,10,9,-,6,10,9,10,10,10,10,10,8,2
-,,Daryll Miskelly,M (R),-,6,8,7,3,6,7,7,7,9,2,3,1,7,6,9,6,3,6,8,6,7,7,7,1,6,6,3,8,9,9,6,2,7,9,8,7,8,8,7,2,2,9,7,9,7,10,10,9,-,7,8,7,10,10,10,10,10,8,1
-,,Misha Radmore,M (L),-,7,6,6,3,4,4,5,5,5,2,2,1,5,4,5,6,3,6,7,5,4,5,8,2,5,4,3,4,7,7,6,3,6,7,7,6,4,6,6,2,3,6,6,5,7,7,10,6,-,6,7,7,10,10,10,10,10,6,1
-,,Kevin McCann,GK,-,6,6,4,8,5,6,2,8,7,8,5,8,8,2,6,6,8,2,6,3,3,3,8,7,7,3,6,5,3,4,3,6,2,7,8,2,3,8,6,7,8,8,7,8,8,8,10,8,-,5,9,5,10,10,10,10,10,8,5
