Position Selected,Inf,Name,Position,Av Rat,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Loy,Pres,Prof,Spor,Temp,Vers,Aer
DMCL,,Nya Kirby,"DM, M/AM (C)",6.92,13,10,13,2,13,9,10,10,14,2,1,2,8,11,11,13,1,12,13,6,1,11,11,1,7,6,2,9,11,11,8,1,9,14,11,9,10,9,14,1,3,9,9,11,12,8,9,16,6,7,16,4,11,10,11,10,20,14,1
DMCR,,Alex Hunt,"DM, M (C)",6.90,10,12,15,1,11,12,12,8,13,1,3,4,12,11,12,11,2,8,12,12,4,12,7,2,6,6,3,12,9,11,9,3,11,14,8,11,11,12,11,1,3,13,9,11,13,12,9,14,3,9,9,5,13,13,12,13,15,14,2
S3,,Sam Bowen,"DM, M (C)",7.00,12,12,13,1,11,11,9,10,12,1,1,2,13,9,11,11,2,13,11,11,6,12,12,3,11,9,3,13,11,10,7,2,9,3,11,7,10,11,10,3,2,8,11,11,11,7,11,16,5,6,10,7,12,11,10,12,17,15,1
S6,,Fin Welch,"DM, M (C)",6.92,12,9,14,2,12,10,6,11,14,1,2,2,8,7,12,11,2,12,12,6,4,9,7,1,7,7,3,9,13,12,5,1,9,12,12,5,7,9,14,3,3,8,13,9,11,4,11,9,5,6,9,9,11,11,10,10,11,6,1
AMCR,BPR,Carl Lashley,"WB (R), M (C), AM (RLC)",6.84,11,14,10,3,13,16,4,8,14,3,1,4,7,4,13,10,2,13,12,5,3,6,6,1,3,9,3,7,13,12,7,1,11,17,14,12,6,12,11,3,3,6,10,10,13,6,19,15,6,8,8,7,13,11,10,11,14,9,2
AMR,,Danny Grant,M/AM (RL),6.82,16,11,8,1,11,8,5,9,11,3,3,3,4,5,11,15,3,13,12,5,4,8,3,1,8,8,1,5,14,11,10,3,12,11,10,11,4,8,12,2,3,7,12,7,13,8,13,17,5,3,9,5,11,11,12,10,11,15,1
AML,,Kian Breckin,"M (C), AM (LC), ST (C)",6.96,14,12,14,2,14,12,8,9,12,3,1,1,9,5,12,12,1,13,15,6,5,9,3,1,8,7,3,6,13,14,12,2,12,4,13,5,6,6,11,4,1,4,15,11,11,15,11,12,5,9,5,4,13,11,12,12,11,15,1
-,Inj,Brian Garcia,"M (C), AM (L), ST (C)",6.74,12,9,13,3,10,7,3,13,13,4,2,1,4,10,11,11,1,10,14,5,4,12,15,3,15,8,1,6,12,10,8,3,8,13,14,6,6,6,13,3,3,7,15,9,12,9,9,12,4,13,15,14,12,13,10,12,16,12,3
STCL,,Max Watters,"AM (RL), ST (C)",6.73,13,13,10,2,11,12,6,9,13,1,1,2,5,10,10,12,2,12,10,5,5,11,6,2,9,9,2,8,11,11,13,3,10,13,10,8,8,9,11,4,1,11,11,12,11,6,9,16,1,5,5,9,11,10,11,13,15,16,3
S4,BPR,Alex Gibson-Hammond,"AM (RLC), ST (C)",7.13,12,11,11,3,10,10,5,11,11,1,3,3,9,5,11,13,3,10,10,6,4,7,9,2,9,9,3,8,9,9,8,2,10,11,10,10,10,11,10,2,1,6,11,8,10,5,10,13,5,4,10,6,9,11,11,12,6,13,1
S7,,Quaine Bartley,ST (C),6.83,9,12,8,1,12,12,5,16,12,1,3,4,9,8,7,10,3,12,10,7,5,8,9,2,15,10,3,9,11,11,11,1,8,13,10,6,7,10,13,3,1,13,12,12,7,14,13,11,5,6,5,11,12,12,13,10,10,8,3
