,Name,Position,projected_rating
191,Maksymilian Zięba,"AM (R), ST (C)",4.183910829603579
198,Johnny Morrow,ST (C),4.179140013255893
167,Andy Wilkinson,"AM (RLC), ST (C)",4.1657522810308665
77,Anthony Gabriel,"AM (C), ST (C)",4.1500753293101145
170,Jermaine Taylor,"AM (L), ST (C)",4.138340255790339
72,Kalum Muddyman,"AM (RL), ST (C)",4.112519557451728
213,Rhys Broome,ST (C),4.098824357489689
187,Kady Gillen,"AM (RC), ST (C)",4.079544751446613
50,Bradley Burchell,"M (C), AM (RC), ST (C)",4.070644376614107
203,Jack Gordon,"AM (RL), ST (C)",4.059576205069745
218,Chris Wood,"AM (C), ST (C)",4.053450707934481
64,Craig Laycock,"AM (RL), ST (C)",3.9926881601335
174,Michael Courtney,"AM (RLC), ST (C)",3.986184885172638
210,Kye McCaul,"AM (RC), ST (C)",3.9442741741863987
183,Robert Armstrong,"M/AM (LC), ST (C)",3.9038609840405853
165,Scott Bolger,ST (C),3.8786934221156266
214,Godfrey Matovu,"AM (LC), ST (C)",3.8416160331442017
197,Owain Evans,"AM (LC), ST (C)",3.8158193036712618
74,Will Marsden,"AM (RL), ST (C)",3.8106124899948792
182,Brian Foley,"AM (R), ST (C)",3.7973355008266614
169,Frannie Higby,"AM (R), ST (C)",3.734445094996162
62,Jasper Dowse,ST (C),3.7271982778976986
188,Sam Stokes,ST (C),3.715709207776003
200,Steven Wilson,"AM (C), ST (C)",3.6806778079353126
76,Bailey-Tye Towey,"AM (RC), ST (C)",3.6517647038612697
81,Tyrell Sellars-Fleming,ST (C),3.650451725880362
179,Brinley Gauvain,"AM (L), ST (C)",3.527002683230855
181,Daniel Lewis,"AM (R), ST (C)",3.5092662679126674
176,Riece Dearle,"AM (LC), ST (C)",3.420813048645763
207,Ayrton Tarima,"AM (RC), ST (C)",3.396280477964983
185,Billy Davies,"M (L), AM (C), ST (C)",3.388789373989278
177,Alex Holland,ST (C),3.3647773471202704
166,Sean Fitzpatrick,"M/AM (C), ST (C)",3.3491971375417524
193,Luka Lukarić,"AM (RC), ST (C)",3.300995384448014
217,Tom Davies,"AM (RLC), ST (C)",3.2969044173692335
164,Tiago Cardeira,"M/AM (R), ST (C)",3.187181818897673
211,Peter Jimoh,"AM (R), ST (C)",3.1501726146933406
202,Tim O'Shea,ST (C),3.0921558141594128
216,Lukas Blankley-Stratton,"AM (LC), ST (C)",2.9284753860947093
195,Kevin Whyte,"AM (LC), ST (C)",2.8794201373149835
