Inf,RF Matches,Name,Club,Position,Age,Ability,Potential,Transfer Value,Wage,Rec,Knowledge,Cons,Imp M,Inj Pr
,England (14/5/2023),Junior Morias - Jamaican,Dag & Red - Vanarama National League,"AM (RC), ST (C)",27,,,€500 - €3K,"€42,000 p/a",- -  - B-,Extensive,9,8,8
,,Morgan Williams - English,Yeovil - Vanarama National League,"D (RLC), WB (R)",23,,,€30K - €95K,"€42,000 p/a",- -  - A,Extensive,12,13,3
Wnt,,Dylan Barkers - English,Altrincham - Vanarama National League,"DM, M (C)",22,,,€0,"€33,000 p/a",- -  - B+,Extensive,5,8,3
,,Corey Hurford - Welsh,Bala - JD Cymru Premier,"WB (R), M/AM (C)",19,,,€0,"€24,000 p/a",- -  - A-,Extensive,10,6,9
Inj,2 Focuses,Conor Carty - Irish,Bolton - Sky Bet League One,ST (C),21,,,€8K - €24K,"€30,000 p/a",- -  - A,Extensive,9,6,9
Wnt,,Jordan Cropper - English,TNS - JD Cymru Premier,D/WB (R),23,,,€0,"€39,000 p/a",- -  - B,Extensive,11,7,5
Wnt,2 Focuses,Ayo Tanimowo - English,Maidenhead - Vanarama National League,D (RL),21,,,€0,"€17,250 p/a",- -  - A,Extensive,11,7,5
Wnt,Vanarama National League (9/4/2023),Mitch Hancox - English,York - Vanarama National League,"D/WB (L), M (LC)",29,,,€0,"€42,000 p/a",- -  - C+,Extensive,11,13,8
Wnt,5 Focuses,George Williams - Welsh,Boreham Wood - Vanarama National League,AM (RLC),27,,,€0,"€60,500 p/a",- -  - B,Extensive,9,8,14
Wnt,Vanarama National League (25/5/2023),Josh Hare - English,Dag & Red - Vanarama National League,D/WB (R),28,,,€0 - €5K,"€54,500 p/a",- -  - B-,Extensive,12,12,5
,,Sam Howes - English,Wealdstone - Vanarama National League,GK,25,,,€0,"€24,000 p/a",- -  - C,Extensive,11,10,6
Ask,,Hady Ghandour - Lebanese,Maidstone - Vanarama National League,"AM (R), ST (C)",23,,,€6K,"€42,000 p/a",- -  - A-,Minimal,12,11,2
,,Christian Dibble - Welsh,Wrexham - Vanarama National League,GK,29,,,€0,"€42,000 p/a",- -  - D,Extensive,11,9,5
Ask,,Elliot Forbes - English,Gateshead - Vanarama National League,D/M (C),24,,,€0,"€18,000 p/a",- -  - B,Extensive,10,4,15
,,Ryan Viggars - Welsh,Newtown - JD Cymru Premier,"AM (R), ST (C)",20,,,€0,"€21,000 p/a",- -  - B-,Extensive,8,11,5
,2 Focuses,Tom Scott - English,FC Halifax - Vanarama National League,GK,22,,,€0 - €130K,"€18,000 p/a",- -  - B+,Extensive,9,16,5
Wnt,,Frankie Deane - Scottish,Burnley - Sky Bet Championship,"DM, M (C)",18,,,€4K - €40K,"€30,000 p/a",- -  - B+,Extensive,9,12,4
Wnt,,Rhys Lovett - English,Torquay - Vanarama National League,GK,26,,,€0,"€24,000 p/a",- -  - D,Extensive,16,2,1
Wnt,,Jayden Smith - English,Concord - Vanarama National League South,ST (C),19,Unknown,Unknown,€0 - €1.5K,"€18,750 p/a",- -  -,None,10,4,11
