,UID,Name,Position,Con/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
10,27141799.0,Andreas Søndergaard,GK,1.19,13.0,12.0,11.0,16.0,13.0,14.0,7.0,10.0,12.0,13.0,12.0,10.0,12.0,11.0,14.0,3.0,4.0,1.0,14.0,10.0,10.0,9.0,2.0,2.0,1.0,3.0,8.0,4.0,3.0,2.0,1.0,2.0,7.0,2.0,3.0,4.0,12.0,10.0,10.0,10.0,12.0,13.0,9.0,12.0,11.0,13.0,12.0
11,43391659.0,Elia Caprile,GK,1.06,11.0,15.0,13.0,15.0,14.0,12.0,17.0,11.0,12.0,15.0,13.0,14.0,14.0,14.0,15.0,7.0,11.0,4.0,17.0,12.0,14.0,13.0,4.0,1.0,2.0,2.0,8.0,9.0,6.0,3.0,3.0,1.0,12.0,2.0,1.0,8.0,15.0,15.0,15.0,10.0,15.0,15.0,18.0,12.0,15.0,14.0,16.0
12,91144903.0,Moritz Nicolas,GK,1.18,8.0,12.0,12.0,15.0,13.0,10.0,10.0,11.0,11.0,12.0,13.0,12.0,12.0,12.0,13.0,4.0,10.0,2.0,13.0,11.0,7.0,11.0,4.0,3.0,2.0,2.0,7.0,5.0,3.0,1.0,1.0,2.0,10.0,3.0,3.0,8.0,14.0,12.0,12.0,7.0,11.0,12.0,13.0,9.0,13.0,11.0,13.0
13,20049230.0,Jermaine Fordah,GK,1.0,7.0,9.0,8.0,11.0,13.0,7.0,5.0,11.0,13.0,8.0,7.0,8.0,9.0,13.0,6.0,2.0,4.0,1.0,8.0,6.0,7.0,7.0,3.0,3.0,1.0,1.0,3.0,8.0,1.0,1.0,2.0,1.0,9.0,2.0,2.0,3.0,12.0,14.0,7.0,5.0,9.0,10.0,9.0,13.0,14.0,5.0,9.0
14,67246951.0,Álvaro Fernández,GK,0.95,11.0,13.0,12.0,14.0,15.0,11.0,12.0,12.0,12.0,14.0,13.0,13.0,13.0,15.0,15.0,7.0,10.0,8.0,13.0,11.0,12.0,12.0,3.0,1.0,1.0,2.0,11.0,7.0,1.0,1.0,1.0,3.0,11.0,3.0,3.0,9.0,13.0,14.0,13.0,8.0,14.0,13.0,15.0,7.0,15.0,14.0,14.0
15,14023026.0,Esteban Andrada,GK,0.98,6.0,11.0,11.0,16.0,12.0,8.0,8.0,8.0,17.0,14.0,12.0,16.0,12.0,12.0,14.0,10.0,10.0,3.0,15.0,13.0,9.0,11.0,6.0,3.0,3.0,3.0,11.0,9.0,3.0,3.0,2.0,2.0,11.0,4.0,3.0,6.0,16.0,14.0,10.0,8.0,15.0,14.0,16.0,12.0,17.0,17.0,16.0
16,2002084485.0,Qismət Hacıyev,GK,1.1,5.0,14.0,13.0,13.0,18.0,5.0,8.0,7.0,11.0,6.0,9.0,9.0,7.0,13.0,8.0,2.0,13.0,2.0,13.0,7.0,15.0,10.0,1.0,1.0,3.0,3.0,3.0,6.0,1.0,1.0,3.0,3.0,5.0,2.0,3.0,5.0,13.0,10.0,15.0,1.0,13.0,8.0,6.0,8.0,13.0,16.0,10.0
17,43159621.0,Nikita Contini,GK,1.07,10.0,12.0,12.0,13.0,16.0,10.0,13.0,11.0,8.0,10.0,13.0,8.0,10.0,11.0,13.0,5.0,7.0,5.0,12.0,9.0,8.0,10.0,5.0,3.0,2.0,3.0,7.0,7.0,3.0,1.0,2.0,1.0,8.0,2.0,1.0,6.0,13.0,13.0,13.0,10.0,14.0,12.0,14.0,10.0,14.0,9.0,14.0
18,2000130993.0,Steven Bessent,GK,0.91,8.0,13.0,7.0,13.0,14.0,9.0,6.0,5.0,14.0,8.0,14.0,7.0,5.0,11.0,11.0,3.0,11.0,2.0,7.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,3.0,1.0,2.0,7.0,2.0,2.0,6.0,11.0,7.0,4.0,5.0,7.0,11.0,8.0,12.0,11.0,15.0,6.0
19,61037994.0,Robbie Thomson,GK,0.77,9.0,10.0,9.0,14.0,10.0,8.0,8.0,8.0,11.0,9.0,10.0,8.0,9.0,9.0,15.0,4.0,11.0,1.0,11.0,14.0,5.0,10.0,2.0,2.0,3.0,2.0,9.0,6.0,8.0,4.0,9.0,2.0,6.0,1.0,1.0,8.0,10.0,8.0,10.0,6.0,11.0,14.0,9.0,14.0,11.0,5.0,9.0
20,85104572.0,Mouez Hassen,GK,1.0,11.0,15.0,10.0,12.0,10.0,12.0,12.0,12.0,15.0,12.0,14.0,12.0,12.0,12.0,13.0,3.0,10.0,3.0,11.0,12.0,10.0,8.0,5.0,1.0,1.0,3.0,10.0,6.0,3.0,3.0,1.0,3.0,10.0,3.0,3.0,9.0,12.0,12.0,12.0,10.0,12.0,14.0,15.0,14.0,15.0,13.0,11.0
21,52060380.0,Paul White,GK,1.09,8.0,11.0,8.0,10.0,8.0,7.0,9.0,10.0,7.0,9.0,11.0,7.0,9.0,9.0,12.0,3.0,9.0,3.0,12.0,10.0,2.0,2.0,4.0,1.0,1.0,3.0,6.0,8.0,4.0,2.0,1.0,2.0,5.0,2.0,1.0,5.0,10.0,7.0,12.0,14.0,9.0,6.0,10.0,5.0,12.0,11.0,8.0
22,22032428.0,Plamen Iliev,GK,0.95,9.0,14.0,10.0,12.0,13.0,9.0,6.0,7.0,9.0,11.0,13.0,12.0,11.0,11.0,15.0,5.0,10.0,7.0,12.0,14.0,10.0,11.0,4.0,2.0,1.0,2.0,10.0,9.0,1.0,3.0,2.0,1.0,11.0,1.0,2.0,10.0,9.0,9.0,11.0,12.0,11.0,14.0,16.0,14.0,15.0,16.0,12.0
23,2002103298.0,Íñigo Etxabe,GK,1.15,7.0,8.0,11.0,14.0,7.0,9.0,9.0,9.0,9.0,11.0,12.0,8.0,11.0,12.0,11.0,3.0,12.0,3.0,15.0,11.0,10.0,10.0,5.0,3.0,3.0,3.0,9.0,8.0,1.0,2.0,2.0,3.0,11.0,2.0,2.0,13.0,12.0,12.0,13.0,8.0,13.0,12.0,9.0,9.0,8.0,15.0,13.0
24,2000089423.0,Alexander Fisher,GK,0.95,8.0,13.0,7.0,9.0,10.0,7.0,6.0,7.0,13.0,7.0,10.0,11.0,10.0,14.0,5.0,2.0,2.0,1.0,10.0,6.0,9.0,6.0,2.0,1.0,2.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,10.0,7.0,12.0,5.0,14.0,9.0,12.0,10.0,14.0,12.0,10.0
25,43425143.0,Denis Franchi,GK,1.03,11.0,11.0,9.0,15.0,14.0,11.0,5.0,12.0,8.0,7.0,13.0,9.0,9.0,14.0,15.0,1.0,9.0,1.0,12.0,7.0,7.0,6.0,4.0,1.0,3.0,1.0,5.0,7.0,1.0,2.0,1.0,1.0,11.0,2.0,2.0,8.0,14.0,10.0,12.0,5.0,11.0,7.0,14.0,13.0,14.0,6.0,14.0
26,2000126218.0,Ahmed Kone,GK,1.0,8.0,13.0,8.0,11.0,12.0,8.0,7.0,4.0,5.0,5.0,6.0,8.0,8.0,7.0,13.0,1.0,10.0,1.0,10.0,6.0,6.0,6.0,2.0,2.0,3.0,3.0,7.0,6.0,1.0,2.0,1.0,1.0,7.0,2.0,2.0,3.0,14.0,12.0,9.0,9.0,8.0,9.0,8.0,12.0,13.0,8.0,7.0
27,91100272.0,Stefan Ortega,GK,1.1,9.0,11.0,12.0,14.0,14.0,8.0,11.0,11.0,10.0,13.0,12.0,12.0,12.0,12.0,14.0,5.0,13.0,5.0,11.0,12.0,11.0,13.0,4.0,1.0,1.0,1.0,11.0,6.0,7.0,1.0,2.0,3.0,12.0,2.0,1.0,11.0,12.0,13.0,13.0,10.0,15.0,14.0,13.0,11.0,15.0,13.0,15.0
28,2002094546.0,Robert Halilović,GK,0.86,9.0,11.0,10.0,12.0,13.0,8.0,9.0,10.0,13.0,10.0,8.0,5.0,9.0,14.0,14.0,1.0,6.0,2.0,6.0,4.0,5.0,5.0,3.0,2.0,3.0,1.0,5.0,6.0,1.0,1.0,3.0,3.0,7.0,2.0,2.0,4.0,8.0,12.0,14.0,1.0,9.0,9.0,8.0,11.0,12.0,15.0,11.0
29,93024808.0,Jacob Rinne,GK,1.04,12.0,13.0,11.0,14.0,14.0,12.0,13.0,9.0,10.0,11.0,11.0,14.0,12.0,11.0,12.0,9.0,13.0,1.0,12.0,12.0,13.0,10.0,1.0,3.0,1.0,2.0,12.0,6.0,10.0,3.0,2.0,1.0,13.0,4.0,2.0,12.0,12.0,12.0,13.0,11.0,13.0,12.0,14.0,10.0,15.0,14.0,11.0
30,2002084513.0,Dritan Elezi,GK,1.0,9.0,12.0,7.0,12.0,6.0,11.0,7.0,3.0,3.0,6.0,10.0,7.0,8.0,13.0,3.0,3.0,6.0,1.0,13.0,9.0,5.0,11.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,3.0,7.0,1.0,1.0,8.0,12.0,9.0,12.0,3.0,12.0,8.0,10.0,9.0,13.0,8.0,6.0
31,28103016.0,Dániel Gyollai,GK,1.05,9.0,8.0,11.0,15.0,8.0,7.0,8.0,14.0,12.0,13.0,13.0,11.0,9.0,10.0,9.0,2.0,7.0,2.0,12.0,10.0,10.0,9.0,1.0,2.0,2.0,1.0,10.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,3.0,10.0,14.0,15.0,12.0,11.0,6.0,11.0,10.0,8.0,8.0,11.0,11.0
32,28103271.0,Marcin Brzozowski,GK,1.0,8.0,8.0,10.0,14.0,13.0,6.0,3.0,8.0,11.0,8.0,13.0,8.0,11.0,16.0,14.0,1.0,9.0,3.0,10.0,8.0,9.0,7.0,3.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,2.0,3.0,5.0,2.0,3.0,6.0,14.0,10.0,10.0,5.0,10.0,11.0,12.0,5.0,13.0,8.0,8.0
33,58123738.0,Matvey Safonov,GK,1.01,11.0,15.0,14.0,15.0,12.0,13.0,11.0,15.0,10.0,15.0,13.0,15.0,14.0,15.0,9.0,8.0,15.0,3.0,15.0,10.0,13.0,10.0,4.0,2.0,1.0,1.0,10.0,9.0,2.0,3.0,2.0,2.0,10.0,1.0,1.0,9.0,15.0,12.0,13.0,10.0,8.0,13.0,14.0,11.0,17.0,13.0,15.0
34,18081239.0,Nick Gillekens,GK,0.89,12.0,12.0,9.0,11.0,10.0,12.0,9.0,9.0,11.0,10.0,15.0,9.0,11.0,12.0,14.0,2.0,8.0,1.0,11.0,9.0,6.0,8.0,3.0,2.0,1.0,3.0,7.0,7.0,1.0,2.0,2.0,3.0,13.0,4.0,1.0,5.0,12.0,12.0,11.0,11.0,10.0,11.0,12.0,10.0,13.0,7.0,11.0
35,2002095630.0,Godwin Abdul,GK,1.24,8.0,13.0,8.0,11.0,12.0,7.0,5.0,5.0,6.0,7.0,5.0,3.0,5.0,10.0,5.0,2.0,9.0,2.0,9.0,14.0,5.0,8.0,2.0,3.0,2.0,2.0,2.0,6.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,6.0,9.0,5.0,8.0,5.0,12.0,8.0,8.0,14.0,7.0,5.0,4.0
36,2002082688.0,Luka Jovanović,GK,1.18,6.0,13.0,14.0,14.0,11.0,8.0,9.0,11.0,12.0,12.0,11.0,8.0,13.0,10.0,11.0,1.0,3.0,1.0,10.0,7.0,6.0,7.0,4.0,1.0,2.0,3.0,8.0,7.0,1.0,3.0,1.0,2.0,10.0,4.0,1.0,7.0,13.0,12.0,7.0,2.0,14.0,14.0,12.0,7.0,13.0,11.0,10.0
37,2000082330.0,Daniil Khudyakov,GK,1.21,8.0,12.0,14.0,18.0,7.0,12.0,12.0,17.0,5.0,14.0,14.0,14.0,13.0,12.0,12.0,2.0,13.0,1.0,11.0,12.0,16.0,12.0,2.0,2.0,3.0,3.0,10.0,6.0,12.0,1.0,2.0,1.0,12.0,2.0,2.0,11.0,16.0,12.0,12.0,9.0,10.0,11.0,15.0,9.0,13.0,11.0,14.0
38,98030486.0,David Von Ballmoos,GK,0.97,8.0,13.0,13.0,14.0,12.0,7.0,11.0,13.0,9.0,11.0,14.0,11.0,12.0,13.0,5.0,4.0,9.0,3.0,13.0,11.0,8.0,9.0,5.0,2.0,3.0,1.0,9.0,10.0,5.0,3.0,3.0,3.0,11.0,1.0,1.0,8.0,15.0,16.0,13.0,10.0,15.0,12.0,15.0,7.0,15.0,13.0,14.0
39,2000222078.0,Elliot Krasniqi,GK,1.25,12.0,15.0,13.0,4.0,14.0,13.0,4.0,9.0,9.0,11.0,12.0,10.0,11.0,13.0,3.0,2.0,10.0,2.0,11.0,7.0,7.0,3.0,3.0,2.0,2.0,1.0,5.0,7.0,1.0,3.0,1.0,1.0,7.0,3.0,2.0,1.0,6.0,5.0,8.0,5.0,12.0,9.0,9.0,8.0,12.0,11.0,11.0
40,2002081441.0,Konstantin Neff,GK,1.17,11.0,13.0,10.0,9.0,14.0,7.0,8.0,11.0,5.0,10.0,7.0,8.0,12.0,13.0,16.0,3.0,10.0,1.0,12.0,8.0,6.0,6.0,3.0,1.0,3.0,3.0,8.0,6.0,1.0,2.0,3.0,1.0,8.0,1.0,2.0,10.0,11.0,12.0,12.0,1.0,10.0,13.0,11.0,9.0,12.0,10.0,13.0
41,2002092149.0,Besik Buadze,GK,1.5,8.0,6.0,6.0,9.0,5.0,4.0,4.0,4.0,12.0,4.0,7.0,3.0,5.0,11.0,9.0,2.0,10.0,1.0,7.0,12.0,7.0,6.0,4.0,1.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0,2.0,9.0,9.0,6.0,11.0,9.0,8.0,4.0,14.0,8.0,10.0,3.0
42,29081135.0,Chris Johns,GK,1.03,7.0,9.0,8.0,7.0,15.0,8.0,4.0,7.0,9.0,13.0,15.0,9.0,10.0,14.0,18.0,1.0,10.0,3.0,9.0,10.0,12.0,11.0,3.0,2.0,3.0,3.0,6.0,6.0,1.0,2.0,3.0,3.0,9.0,5.0,2.0,5.0,10.0,11.0,12.0,7.0,12.0,14.0,11.0,8.0,11.0,8.0,11.0
43,2002090339.0,Lee Hyeong-Gi,GK,1.0,7.0,11.0,15.0,13.0,8.0,8.0,10.0,8.0,7.0,11.0,12.0,10.0,9.0,13.0,12.0,1.0,11.0,1.0,10.0,9.0,11.0,11.0,4.0,2.0,3.0,1.0,7.0,7.0,1.0,3.0,2.0,2.0,7.0,1.0,3.0,7.0,13.0,13.0,9.0,6.0,14.0,10.0,12.0,5.0,13.0,7.0,10.0
44,27147187.0,Lukas Jensen,GK,0.9,15.0,9.0,10.0,15.0,9.0,14.0,5.0,8.0,11.0,13.0,8.0,12.0,9.0,10.0,11.0,2.0,11.0,3.0,10.0,11.0,10.0,9.0,3.0,2.0,3.0,3.0,7.0,5.0,1.0,3.0,2.0,2.0,13.0,2.0,2.0,4.0,15.0,12.0,11.0,5.0,12.0,13.0,13.0,8.0,13.0,14.0,13.0
45,55022080.0,Cláudio Ramos,GK,0.94,8.0,11.0,11.0,12.0,13.0,9.0,11.0,10.0,11.0,12.0,13.0,12.0,12.0,13.0,16.0,3.0,14.0,1.0,13.0,13.0,12.0,14.0,7.0,3.0,2.0,1.0,11.0,8.0,8.0,3.0,2.0,3.0,12.0,3.0,3.0,10.0,12.0,11.0,13.0,14.0,13.0,14.0,13.0,8.0,15.0,15.0,11.0
46,13229852.0,Aymen Dahmen,GK,0.9,11.0,15.0,10.0,14.0,11.0,12.0,11.0,8.0,11.0,14.0,12.0,13.0,13.0,12.0,14.0,2.0,12.0,1.0,14.0,11.0,10.0,8.0,5.0,2.0,3.0,2.0,9.0,9.0,2.0,1.0,1.0,1.0,9.0,4.0,2.0,5.0,13.0,13.0,13.0,10.0,13.0,10.0,13.0,9.0,14.0,5.0,13.0
47,19184434.0,Carlos Coronel,GK,0.5,11.0,14.0,16.0,18.0,14.0,12.0,13.0,16.0,11.0,11.0,14.0,11.0,12.0,10.0,12.0,3.0,10.0,1.0,15.0,14.0,10.0,13.0,3.0,3.0,7.0,1.0,10.0,4.0,4.0,13.0,15.0,3.0,13.0,5.0,3.0,11.0,16.0,13.0,12.0,4.0,13.0,14.0,11.0,11.0,14.0,12.0,17.0
48,2000224405.0,Luke Armstrong,GK,0.73,9.0,8.0,11.0,12.0,12.0,9.0,7.0,8.0,13.0,11.0,15.0,4.0,7.0,11.0,10.0,1.0,6.0,1.0,8.0,6.0,7.0,6.0,1.0,2.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,11.0,2.0,2.0,7.0,15.0,6.0,8.0,15.0,14.0,9.0,10.0,7.0,11.0,9.0,10.0
49,2000138747.0,Ollie Camis,GK,0.87,11.0,9.0,10.0,15.0,11.0,8.0,3.0,8.0,9.0,7.0,10.0,8.0,8.0,15.0,12.0,2.0,5.0,2.0,11.0,7.0,8.0,4.0,1.0,2.0,3.0,2.0,5.0,6.0,1.0,3.0,1.0,3.0,6.0,2.0,3.0,3.0,16.0,7.0,6.0,5.0,10.0,12.0,9.0,11.0,10.0,12.0,8.0
50,58084835.0,Alexandr Selikhov,GK,1.58,7.0,13.0,13.0,15.0,9.0,10.0,11.0,12.0,11.0,16.0,12.0,13.0,13.0,12.0,18.0,2.0,12.0,2.0,12.0,14.0,12.0,11.0,4.0,3.0,3.0,2.0,11.0,8.0,10.0,1.0,3.0,2.0,11.0,5.0,2.0,6.0,13.0,13.0,12.0,9.0,15.0,14.0,14.0,8.0,15.0,9.0,15.0
51,28116337.0,Kai Calderbank-Park,GK,0.86,7.0,6.0,8.0,8.0,9.0,7.0,7.0,5.0,6.0,9.0,6.0,9.0,9.0,10.0,4.0,3.0,9.0,6.0,10.0,9.0,11.0,6.0,3.0,1.0,3.0,1.0,6.0,3.0,2.0,1.0,2.0,2.0,7.0,1.0,3.0,5.0,15.0,9.0,14.0,8.0,10.0,12.0,11.0,9.0,10.0,12.0,13.0
52,58100109.0,Alexandr Vasyutin,GK,0.84,12.0,13.0,13.0,14.0,12.0,13.0,10.0,11.0,9.0,12.0,13.0,12.0,12.0,13.0,14.0,1.0,14.0,1.0,12.0,10.0,10.0,9.0,2.0,2.0,1.0,1.0,10.0,6.0,3.0,2.0,3.0,1.0,10.0,2.0,1.0,9.0,13.0,12.0,14.0,11.0,12.0,13.0,15.0,12.0,13.0,11.0,13.0
53,2002084152.0,Mike Bush,GK,1.07,5.0,7.0,7.0,11.0,9.0,11.0,3.0,4.0,9.0,9.0,8.0,5.0,9.0,7.0,12.0,1.0,3.0,1.0,8.0,4.0,3.0,7.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,5.0,2.0,1.0,8.0,11.0,8.0,10.0,3.0,8.0,11.0,7.0,8.0,11.0,9.0,8.0
54,217975.0,Alexis André Jr,GK,1.07,14.0,14.0,8.0,13.0,13.0,9.0,7.0,6.0,9.0,11.0,12.0,8.0,6.0,8.0,10.0,10.0,14.0,3.0,8.0,8.0,7.0,7.0,5.0,1.0,2.0,2.0,1.0,8.0,1.0,1.0,1.0,3.0,10.0,2.0,2.0,1.0,13.0,10.0,8.0,13.0,10.0,7.0,12.0,3.0,11.0,8.0,7.0
55,2002083325.0,Ibrahim Konaté,GK,1.3,8.0,7.0,6.0,12.0,11.0,4.0,3.0,2.0,6.0,5.0,4.0,4.0,5.0,9.0,5.0,2.0,1.0,1.0,11.0,4.0,8.0,5.0,3.0,3.0,1.0,1.0,4.0,7.0,1.0,2.0,1.0,2.0,7.0,3.0,2.0,7.0,10.0,9.0,5.0,2.0,13.0,11.0,3.0,12.0,12.0,10.0,3.0
56,52090791.0,Luke McNicholas,GK,0.42,11.0,14.0,11.0,13.0,14.0,12.0,12.0,12.0,10.0,13.0,11.0,11.0,11.0,12.0,17.0,1.0,7.0,2.0,14.0,11.0,11.0,12.0,5.0,1.0,2.0,2.0,10.0,10.0,10.0,2.0,3.0,3.0,9.0,2.0,1.0,8.0,12.0,12.0,12.0,6.0,12.0,12.0,10.0,9.0,12.0,11.0,10.0
57,43252073.0,Gianluigi Donnarumma,GK,0.46,11.0,17.0,16.0,18.0,15.0,12.0,15.0,16.0,8.0,17.0,16.0,16.0,16.0,16.0,15.0,6.0,16.0,2.0,16.0,15.0,11.0,13.0,3.0,1.0,4.0,2.0,8.0,9.0,7.0,2.0,8.0,2.0,9.0,6.0,7.0,8.0,16.0,15.0,16.0,9.0,15.0,14.0,17.0,14.0,18.0,11.0,15.0
58,2002091644.0,Liam Sutton,GK,1.12,4.0,7.0,10.0,12.0,8.0,4.0,2.0,4.0,8.0,4.0,8.0,4.0,5.0,11.0,13.0,2.0,2.0,2.0,9.0,6.0,5.0,7.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,11.0,8.0,5.0,4.0,13.0,6.0,7.0,7.0,14.0,11.0,3.0
59,2002094150.0,Felipe Pérez,GK,1.0,9.0,15.0,12.0,12.0,8.0,10.0,5.0,5.0,11.0,8.0,14.0,8.0,11.0,11.0,20.0,1.0,5.0,2.0,11.0,12.0,5.0,7.0,2.0,3.0,3.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,6.0,2.0,3.0,7.0,13.0,10.0,9.0,2.0,11.0,8.0,7.0,9.0,15.0,7.0,8.0
60,2000128220.0,James Wright,GK,1.16,10.0,12.0,7.0,13.0,13.0,8.0,4.0,6.0,14.0,4.0,13.0,4.0,11.0,11.0,7.0,1.0,9.0,2.0,6.0,5.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,5.0,1.0,2.0,3.0,2.0,9.0,1.0,3.0,5.0,12.0,6.0,6.0,5.0,12.0,10.0,4.0,7.0,12.0,11.0,6.0
61,67236098.0,Christian Joel Sánchez,GK,0.53,12.0,14.0,8.0,16.0,15.0,12.0,13.0,15.0,14.0,13.0,15.0,9.0,13.0,11.0,13.0,1.0,10.0,1.0,12.0,13.0,10.0,10.0,7.0,7.0,11.0,3.0,12.0,7.0,12.0,8.0,7.0,8.0,13.0,7.0,8.0,11.0,15.0,13.0,13.0,19.0,12.0,13.0,15.0,17.0,13.0,13.0,14.0
62,13157130.0,Samuel Diarra,GK,1.21,6.0,8.0,8.0,6.0,10.0,9.0,3.0,4.0,6.0,8.0,11.0,9.0,13.0,13.0,8.0,1.0,6.0,3.0,13.0,8.0,8.0,7.0,5.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,2.0,8.0,4.0,3.0,1.0,10.0,12.0,11.0,5.0,9.0,12.0,10.0,14.0,14.0,12.0,11.0
